Order Number,Order Date,Order Status,Order Payment Method,Order Shipping Method,Order Shipping,Order Discount,Order Grand Total,Total Qty Items Ordered,Customer Name,Customer Email,Shipping Name,Shipping Street,Shipping Zip,Shipping City,Shipping State,Shipping State Name,Shipping Country,Shipping Country Name,Shipping Phone Number,Item Name,Item SKU,Item Price,Item Qty Ordered,Item Total,Order remarks,Pay Order Number,Currency,Order Sources
222222222222222223333333333333333333333344444444444444444455555555555555555555555,2015-3-12 23:18,processing,1,1,$6.00 ,$0.00 ,$7.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
1600000006,2015-3-12 23:16,pending,1,1,$6.00 ,$0.00 ,$7.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
1600000005,2015-3-12 23:15,canceled,1,1,$6.00 ,$0.00 ,$7.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
1600000004,2015-3-12 22:59,pending,1,1,$6.00 ,$0.00 ,$7.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
1600000003,2015-3-12 20:21,pending,1,1,$6.00 ,$0.00 ,$7.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
1600000002,2015-3-12 20:19,pending,1,1,$6.00 ,$0.00 ,$8.00 ,2,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$1.00 ,2,$2.00 ,,,USD,5
1600000001,2015-3-11 02:11,canceled,1,1,$6.00 ,$0.00 ,$7.00 ,1,1 1,1@qq.com,1 1,2 2,2,2,DE,Delaware,US,United States,2,Maecenas molestie,C1.01.140402@200,$1.00 ,1,$1.00 ,,,USD,5
100000010,2015-3-9 23:02,canceled,1,1,$5.00 ,$0.00 ,$350.00 ,1,test First Name test Last Name,bananatvtest@126.com,test First Name test Last Name,test Address,111111,test City,FL,Florida,US,United States,123456789,Maecenas molestie,C1.01.140402@200,$345.00 ,1,$345.00 ,,,USD,5
100000008,2013-12-28 10:58,pending,1,1,$30.00 ,$0.00 ,"$4,568.33 ",7,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Ut tincidunt tortor,C1.01.140402@200,$456.00 ,1,$493.62 ,,,USD,5
100000008,2013-12-28 10:58,pending,1,1,$30.00 ,$0.00 ,"$4,568.33 ",7,stephen 105,admin@mystore.com,stephen 105,US,84,Cali,CA,California,US,United States,98734748,Maecenas molestie,C1.01.140402@200,$300.00 ,3,$974.25 ,,,USD,5
